Machine_ID,Model,RMSE,MAE,MAPE,SMAPE,WAPE,R2,loss,mae,val_loss,val_mae,learning_rate,model_file,Window
28,GRU,0.2847923625713706,0.2471270771331415,3.3089324279217247,55.4321733925017,47.67880807491371,-0.0324845593765117,0.0806099027395248,0.2452516704797744,0.081415019929409,0.2473016530275344,0.00025,saved_models/model_GRU_machine_28.h5,20
28,TCN,0.3030689582647372,0.2513375134080584,2.884998221780022,55.691913044539234,48.491137445665984,-0.1692565221950128,0.012668389827013,0.0890375301241874,0.1082002818584442,0.2738330960273742,0.00025,saved_models/model_TCN_machine_28.h5,20
29,LSTM,0.2852064086374938,0.2461614888749498,20.727445172639264,58.2350462045444,50.73966251371831,-0.0167400824479102,0.079111635684967,0.2416106760501861,0.0823038145899772,0.2478993386030197,0.00025,saved_models/model_LSTM_machine_29.h5,20
29,GRU,0.2832256666560768,0.2439108711039368,18.56173776461795,57.905473935395655,50.27575734857452,-0.0026667201662244,0.079559750854969,0.2421176433563232,0.0804619416594505,0.2449186146259308,0.00025,saved_models/model_GRU_machine_29.h5,20
29,TCN,0.3096032588454145,0.2627722040163479,26.75201200566416,61.660440867300224,54.16352090943269,-0.1981258316561847,0.0345159135758876,0.1510611474514007,0.10927764326334,0.2776576280593872,0.00025,saved_models/model_TCN_machine_29.h5,20
30,LSTM,0.288896986598197,0.2472566940961275,5920688180343.66,55.1897014355757,47.36916818758688,0.0025705836205692,0.0813522636890411,0.2468046247959137,0.0839331224560737,0.2478526681661605,3.125e-05,saved_models/model_LSTM_machine_30.h5,20
30,GRU,0.2905187254733746,0.2482701607735439,5620233142274.484,55.51303541183562,47.5633270299614,-0.008659095424836,0.0824079364538192,0.2480081170797348,0.084610104560852,0.2487773150205612,0.00025,saved_models/model_GRU_machine_30.h5,20
30,TCN,0.3182255366717797,0.266650198872324,6619623569983.549,59.73475125032716,51.08455471270669,-0.2102252333477965,0.0290719475597143,0.1377052366733551,0.1162858605384826,0.2799579501152038,0.00025,saved_models/model_TCN_machine_30.h5,20
31,LSTM,0.2937422910824871,0.2544601235537919,3.02410093464919,55.6772010612621,48.66842166031628,-0.0077856947290413,0.0821016207337379,0.2473727911710739,0.0871394500136375,0.2552274763584137,0.000125,saved_models/model_LSTM_machine_31.h5,20
31,GRU,0.2939529741054497,0.2553092756158932,3.0181618208528427,55.72736577710663,48.83083174656044,-0.0092318567986846,0.0799471214413642,0.2433088272809982,0.0872422158718109,0.2559816539287567,0.00025,saved_models/model_GRU_machine_31.h5,20
31,TCN,0.3227651091876594,0.2654989561443905,2.815319940921388,59.34630251116997,50.77972519838646,-0.2167697285061596,0.0066509651951491,0.0633911564946174,0.118618331849575,0.28263720870018,0.00025,saved_models/model_TCN_machine_31.h5,20
32,LSTM,0.2946523407530697,0.2574692856796888,2.2666689727167237,57.225416516258456,49.827901331253855,0.0064903184561118,0.0836435258388519,0.2502740025520324,0.0883305817842483,0.2600941658020019,0.00025,saved_models/model_LSTM_machine_32.h5,20
32,GRU,0.2948004134596332,0.2573010757630368,2.228344757157074,57.38715689641355,49.79534775070638,0.0054915235275097,0.0838524922728538,0.2497256100177765,0.0883625224232673,0.2590757012367248,0.000125,saved_models/model_GRU_machine_32.h5,20
32,TCN,0.3292818445500545,0.2742102838646643,2.2442276987314638,61.45315295785334,53.067778288016086,-0.2407602862201034,0.0103987380862236,0.0804862678050994,0.1284565925598144,0.2891701161861419,0.00025,saved_models/model_TCN_machine_32.h5,20
33,LSTM,0.2853098456824388,0.2470207523389599,7.441783247257143,56.07153992487579,48.32217012533753,0.0106472874337132,0.0811434984207153,0.2469744682312011,0.0831851884722709,0.2495937794446945,0.00025,saved_models/model_LSTM_machine_33.h5,20
33,GRU,0.2874277405088821,0.2493473033146076,7.548351075099537,56.49211203923525,48.77728974984686,-0.0040954355569979,0.0806969478726387,0.2464651465415954,0.0831457674503326,0.2500667870044708,0.00025,saved_models/model_GRU_machine_33.h5,20
33,TCN,0.3462809523904753,0.2821675049193121,4.074877322582824,63.38706416227722,55.197573675280736,-0.4573868202727764,0.0209735799580812,0.115608662366867,0.1371454000473022,0.3009803295135498,0.00025,saved_models/model_TCN_machine_33.h5,20
34,LSTM,0.294253558272218,0.2518060300162412,4.588972589606211,59.111537994974086,50.92657809798042,-0.009237957846399,0.0835000351071357,0.2493190616369247,0.0877573937177658,0.25352343916893,0.00025,saved_models/model_LSTM_machine_34.h5,20
34,GRU,0.2955146386739644,0.2530104813941599,4.482845714462034,59.5648061037114,51.1701726900513,-0.0179070626978326,0.0812424272298812,0.2464684695005417,0.0886936709284782,0.2555396258831024,0.000125,saved_models/model_GRU_machine_34.h5,20
34,TCN,0.3450964800732491,0.2885074149464084,3.876481831464098,65.86387332307567,58.34925953984125,-0.3881333514996605,0.0119597930461168,0.0856701657176017,0.1331177651882171,0.2987588047981262,0.00025,saved_models/model_TCN_machine_34.h5,20
35,LSTM,0.3035030599491002,0.2646805016691781,4.783770322816587,62.01616583115739,53.21058436968348,-0.0031247841798125,0.0828979089856147,0.2501270174980163,0.0924435183405876,0.2649629414081573,0.000125,saved_models/model_LSTM_machine_35.h5,20
35,GRU,0.302868857456389,0.2634684806083435,4.777059877197254,61.930457912919415,52.96692324425618,0.0010631113282102,0.082799918949604,0.2498217672109604,0.0929714068770408,0.2652159631252289,0.00025,saved_models/model_GRU_machine_35.h5,20
35,TCN,0.3494695910733805,0.2890307714059211,4.795703969886452,65.49572682335305,58.105890499452656,-0.3299876131543826,0.0285707656294107,0.1375792771577835,0.1278860867023468,0.2921229004859924,0.00025,saved_models/model_TCN_machine_35.h5,20
36,LSTM,0.2996800363701691,0.2608822388932435,6.675724638173934,59.7936070962142,51.06340521217853,0.004121478344219,0.0772891417145729,0.2384009212255478,0.0902696624398231,0.2613465487957001,3.125e-05,saved_models/model_LSTM_machine_36.h5,20
36,GRU,0.2986813963559594,0.2590501540944436,6.633512457995299,59.496777469573246,50.70480476141165,0.0107476593852841,0.0721622332930564,0.2287647277116775,0.0899572223424911,0.2595190703868866,6.25e-05,saved_models/model_GRU_machine_36.h5,20
36,TCN,0.3237616860469643,0.2728098162490131,7.035749689467538,62.509702535997405,53.3980322005896,-0.1623626504600568,0.0148985711857676,0.0978540256619453,0.118524469435215,0.2893550097942352,0.00025,saved_models/model_TCN_machine_36.h5,20
37,LSTM,0.2769954612942483,0.2383288172702609,2.0293403023994525,53.62476266330468,46.34362956182448,0.0117911512796331,0.0846332013607025,0.2529393136501312,0.0772373750805854,0.2389387488365173,0.000125,saved_models/model_LSTM_machine_37.h5,20
37,GRU,0.2752568476935887,0.2370066896848479,2.0276278378448045,53.37186095499696,46.08653857403023,0.0241575727905084,0.0841266587376594,0.2516756653785705,0.0772665813565254,0.2399793267250061,0.00025,saved_models/model_GRU_machine_37.h5,20
37,TCN,0.3106623856360568,0.2602302392557903,2.1132202123731063,57.80367848844109,50.602415381348735,-0.2430276186947906,0.0422988049685955,0.1702885627746582,0.1001393049955368,0.2654505372047424,0.00025,saved_models/model_TCN_machine_37.h5,20
38,LSTM,0.280831051867615,0.2411683125635579,2.8768408614800838,57.25523576744153,49.53596230940525,0.0010570058942764,0.0831062421202659,0.248103454709053,0.0790417045354843,0.2417252361774444,0.00025,saved_models/model_LSTM_machine_38.h5,20
38,GRU,0.2806904555221837,0.240102491479564,2.9110679105485904,56.92901071476968,49.3170426989304,0.0020569848936276,0.0833859965205192,0.2480434477329254,0.0809690281748771,0.2431451082229614,0.00025,saved_models/model_GRU_machine_38.h5,20
38,TCN,0.3062420636260495,0.2547909358396872,2.6156629601483545,60.16248906190757,52.334048616799926,-0.1879006975461574,0.0136254960671067,0.0937154367566108,0.10772355645895,0.2715010643005371,0.00025,saved_models/model_TCN_machine_38.h5,20
39,LSTM,0.2864911793858277,0.2460900149514966,2.1459503378194245,55.1059943243571,48.11078682319344,-0.0061808220303629,0.0824412852525711,0.2478150576353073,0.0824211984872818,0.2462082058191299,0.00025,saved_models/model_LSTM_machine_39.h5,20
39,GRU,0.2873473677775942,0.2459536983706299,2.101903873344741,55.15766809169845,48.08413682699656,-0.0122038180819299,0.0823044702410698,0.2473172694444656,0.0831510424613952,0.2469661235809326,0.00025,saved_models/model_GRU_machine_39.h5,20
39,TCN,0.3171663242399443,0.2650407663501136,2.236870650067768,57.68949079335055,51.81567326833383,-0.233183379684128,0.041554357856512,0.1683187037706375,0.1081736385822296,0.2774849236011505,0.00025,saved_models/model_TCN_machine_39.h5,20
40,LSTM,0.293930511509685,0.2534248754670912,3.9002579839131215,59.851017392852704,52.20365672792416,-0.0090562957069397,0.0805751532316207,0.2428884953260421,0.0864332094788551,0.2531957328319549,0.00025,saved_models/model_LSTM_machine_40.h5,20
40,GRU,0.2973046148264285,0.2556039410485722,4.011527866429355,60.2999633199985,52.652528179053824,-0.0323556915944169,0.0787651315331459,0.239640474319458,0.0907760858535766,0.260167509317398,0.00025,saved_models/model_GRU_machine_40.h5,20
40,TCN,0.3425133772668822,0.2864003243530044,4.333107424958532,65.87386943998507,58.99635618537326,-0.3701910664802257,0.0208085756748914,0.116758182644844,0.127636969089508,0.2977032363414764,0.00025,saved_models/model_TCN_machine_40.h5,20
41,LSTM,0.2909867855173333,0.2519424632864516,4.866318208650071,58.66876876944378,50.681957206996,-0.0149998201841161,0.0828873440623283,0.2496225535869598,0.0851043686270713,0.2522650361061096,6.25e-05,saved_models/model_LSTM_machine_41.h5,20
41,GRU,0.2915615495153071,0.2521217183493225,4.956894539881201,58.52875325214153,50.718017017267975,-0.0190134836351603,0.0818140730261802,0.248264342546463,0.0866923108696937,0.2544456124305725,0.00025,saved_models/model_GRU_machine_41.h5,20
41,TCN,0.3391786494038327,0.281859943311964,4.937202429324115,64.68513439361936,56.70030132658259,-0.3790386695696983,0.0106569547206163,0.0809390321373939,0.1353355646133422,0.302255779504776,0.00025,saved_models/model_TCN_machine_41.h5,20
42,LSTM,0.2978842618710061,0.2586590280991588,9.881829359847789,60.28472053739055,52.30350333113312,-0.0116914047336311,0.0829618573188781,0.2487989217042923,0.0890355855226516,0.2591422796249389,6.25e-05,saved_models/model_LSTM_machine_42.h5,20
42,GRU,0.2988271021608374,0.2582797121475284,10.22649715038011,59.89893778749176,52.22680176271906,-0.0181057950657455,0.0817502737045288,0.2464756667613983,0.0904254987835884,0.2607427537441253,0.000125,saved_models/model_GRU_machine_42.h5,20
42,TCN,0.3237632263059513,0.2764583490969978,10.27765376534409,63.43765501403905,55.90270824558706,-0.1951102773569031,0.0331386215984821,0.1487702280282974,0.1177097484469413,0.2870543003082275,0.00025,saved_models/model_TCN_machine_42.h5,20
43,LSTM,0.2826604350229106,0.2428892219103935,1.8744686318367716,52.33404819900117,45.34877573438098,-0.0101063694778134,0.0853461176156997,0.2540845870971679,0.0821029692888259,0.2474188059568405,0.00025,saved_models/model_LSTM_machine_43.h5,20
43,GRU,0.2836426570799644,0.2434963980567351,1.862917090410209,52.54247238927635,45.462138915649966,-0.0171386417812851,0.0841098874807357,0.2518739700317383,0.0825346037745475,0.24701988697052,0.000125,saved_models/model_GRU_machine_43.h5,20
43,TCN,0.3258008749944194,0.2677664229235864,1.9710233154413723,55.96956914783973,49.99348825300642,-0.3419661348135303,0.0197060387581586,0.1128085628151893,0.1249033212661743,0.289891242980957,0.00025,saved_models/model_TCN_machine_43.h5,20
44,LSTM,0.2879264251189213,0.2481794463612023,3.3518306230384933,55.85388070673413,48.87533646154865,-0.0151789182170989,0.0841390267014503,0.2518415749073028,0.0840514525771141,0.2498063147068023,0.00025,saved_models/model_LSTM_machine_44.h5,20
44,GRU,0.2888167138157324,0.2483719669338243,3.291290162475044,55.969458651691305,48.91325059142778,-0.0214666330444213,0.0836976245045661,0.2512462437152862,0.0852343142032623,0.2507412433624267,0.00025,saved_models/model_GRU_machine_44.h5,20
44,TCN,0.3104618734213035,0.2574480891163059,3.3532441101350634,57.652752131699934,50.70066099925543,-0.1803100032386251,0.0390822403132915,0.1623924672603607,0.1080949679017067,0.2724131643772125,0.00025,saved_models/model_TCN_machine_44.h5,20
45,LSTM,0.2923982372874605,0.2514430824082159,2.530674709909969,58.61666115286671,50.18333785810786,0.0091431820869597,0.0832627117633819,0.2488285154104232,0.0866053402423858,0.2525230944156647,0.00025,saved_models/model_LSTM_machine_45.h5,20
45,GRU,0.2916846718250973,0.2502249379606499,2.574123372551872,58.104597179421326,49.94021900279196,0.0139734333370938,0.0819696858525276,0.2462958693504333,0.0887747108936309,0.2538559138774872,0.00025,saved_models/model_GRU_machine_45.h5,20
45,TCN,0.3156195992230185,0.2649682750010333,2.497209343089639,61.30311199239559,52.882713410541655,-0.1544877517801171,0.0340097583830356,0.1499976366758346,0.1109897196292877,0.2792069911956787,0.00025,saved_models/model_TCN_machine_45.h5,20
46,LSTM,0.2929438437110718,0.2554757159306655,2.772912591923669,59.73989959371029,51.51162880201456,0.0021440536871318,0.0865856036543846,0.2556638121604919,0.0863893032073974,0.2561952173709869,0.00025,saved_models/model_LSTM_machine_46.h5,20
46,GRU,0.2949517106302171,0.2564402676499596,2.69142807744154,60.1610983312962,51.70611159245757,-0.0115816367246968,0.0859826430678367,0.2540285289287567,0.0877830758690834,0.2571975290775299,0.00025,saved_models/model_GRU_machine_46.h5,20
46,TCN,0.3434886284103414,0.28236116269187,2.4250259023370284,67.5283665352264,56.93254776761734,-0.3719043274887765,0.0329309478402137,0.1476826220750808,0.126168668270111,0.2935317456722259,0.00025,saved_models/model_TCN_machine_46.h5,20
47,LSTM,0.2970895251964253,0.2583353961216494,2.8806334656089736,58.14042977599516,50.20230376773255,-0.0046343712517793,0.0842738896608352,0.2510134577751159,0.0886981189250946,0.2593333721160888,0.00025,saved_models/model_LSTM_machine_47.h5,20
47,GRU,0.2988247654782746,0.2597349673043639,2.9177336936097795,58.27158894861497,50.47428236111939,-0.0164043796933297,0.0815422907471656,0.2455307990312576,0.0914000794291496,0.2612440288066864,0.00025,saved_models/model_GRU_machine_47.h5,20
47,TCN,0.3102368890072682,0.2669380855715038,2.807286884135025,60.349507699706486,51.874063950288765,-0.095519788215977,0.0290815196931362,0.1375917345285415,0.1110971197485923,0.2810508012771606,0.00025,saved_models/model_TCN_machine_47.h5,20
48,LSTM,0.2945429802072866,0.255581992965247,3.551939898566707,60.47179686689571,52.05294731957902,-0.0235756071835362,0.0838132724165916,0.2518737912178039,0.0875267162919044,0.2565899789333343,0.00025,saved_models/model_LSTM_machine_48.h5,20
48,GRU,0.2958983518813495,0.2567056913206425,3.588569143234171,60.60010395984599,52.28180464484628,-0.0330174709675847,0.0833124741911888,0.2507160305976867,0.0879668220877647,0.2569018304347992,0.00025,saved_models/model_GRU_machine_48.h5,20
