Machine_ID,Model,RMSE,MAE,MAPE,SMAPE,WAPE,R2,loss,mae,val_loss,val_mae,learning_rate,model_file
15,LSTM,0.28739290667120043,0.24839908467606833,4.241831006777775,54.53720556887114,47.432362553297,-0.0036007651868519286,0.08056671172380447,0.24421754479408264,0.08280376344919205,0.24922436475753784,3.125e-05,saved_models/model_LSTM_machine_15.h5
15,GRU,0.28642537669628304,0.24743825299943611,4.185993819700452,54.357085391103546,47.24888958882072,0.0031452560606964886,0.0774245336651802,0.2388642281293869,0.08238299936056137,0.2482963651418686,6.25e-05,saved_models/model_GRU_machine_15.h5
15,TCN,0.32269086689359194,0.266732479544378,4.076021329225627,59.09660662267833,50.933165438140314,-0.26526717616779827,0.016773071140050888,0.1032281219959259,0.12193717807531357,0.2835582196712494,0.00025,saved_models/model_TCN_machine_15.h5
16,LSTM,0.29408257626631273,0.25601899384193094,3.3401650739101827,55.98690211563218,48.224945121725575,-0.002891220891419577,0.08164498955011368,0.24593497812747955,0.08708072453737259,0.2571614384651184,0.00025,saved_models/model_LSTM_machine_16.h5
16,GRU,0.2939414912057227,0.255337490031092,3.351310039806433,55.84426360988354,48.096573849794694,-0.001929184785175675,0.08002202212810516,0.24300915002822876,0.08680367469787598,0.25678884983062744,0.000125,saved_models/model_GRU_machine_16.h5
16,TCN,0.3471972775065971,0.2929177282270102,3.1178089281822214,63.68964274888449,55.175364753013646,-0.3978734718696555,0.015131840482354164,0.09838651120662689,0.13136295974254608,0.3046319782733917,0.00025,saved_models/model_TCN_machine_16.h5
17,LSTM,0.27615502028840866,0.23931246453078003,2.334524874956073,54.528168674948006,48.74295729493697,-0.02178601579755357,0.0807584747672081,0.24485483765602112,0.07687588036060333,0.23957395553588867,6.25e-05,saved_models/model_LSTM_machine_17.h5
17,GRU,0.27452448200441026,0.2351265663983928,2.2170206346994195,54.0123535989568,47.890377157467086,-0.009755507402200214,0.08164189755916595,0.24609769880771637,0.07716872543096542,0.24010659754276276,0.00025,saved_models/model_GRU_machine_17.h5
17,TCN,0.34840774148798787,0.28466473336279086,2.637362400916477,65.29195037724837,57.980268469854394,-0.6264085985157595,0.02205791138112545,0.11849427968263626,0.13973940908908844,0.305546373128891,0.00025,saved_models/model_TCN_machine_17.h5
18,LSTM,0.2934892547182306,0.2514258239520193,2.3314883242879594,57.25971186657952,49.02133768348484,-0.013214654987975694,0.08311482518911362,0.2488216608762741,0.08768804371356964,0.25294816493988037,0.00025,saved_models/model_LSTM_machine_18.h5
18,GRU,0.2955900969843114,0.2527880778840815,2.356044650822162,57.50761320016887,49.28694090977482,-0.027772071174553936,0.08193538337945938,0.24681472778320312,0.08767963945865631,0.2521757483482361,0.000125,saved_models/model_GRU_machine_18.h5
18,TCN,0.32028949559967024,0.27074777362645625,2.5041358006838017,61.79674623982439,52.788603133014114,-0.20670869748513687,0.03712765872478485,0.15751643478870392,0.11277760565280914,0.2778604030609131,0.00025,saved_models/model_TCN_machine_18.h5
19,LSTM,0.29451292238565957,0.2549904926165501,19.56051674394237,58.8065808132142,51.36404065171843,-0.00808505803145021,0.08088857680559158,0.2436903566122055,0.08706992864608765,0.25685539841651917,0.00025,saved_models/model_LSTM_machine_19.h5
19,GRU,0.2968405649657153,0.2556473053808251,20.910237639274875,59.13016705629938,51.49634581015241,-0.02408255081244981,0.07959385216236115,0.24149127304553986,0.08856484293937683,0.25845107436180115,0.00025,saved_models/model_GRU_machine_19.h5
19,TCN,0.3271040547534947,0.2794531248474155,18.829055226247533,63.152299806842635,56.29167392722142,-0.24354161252061135,0.02706199884414673,0.13248881697654724,0.12496144324541092,0.297421395778656,0.00025,saved_models/model_TCN_machine_19.h5
20,LSTM,0.29455910099545213,0.25730586871704736,7.999553422963138,56.52983938547579,48.78547794589092,-0.008911735286988076,0.08270023763179779,0.2492804080247879,0.08907606452703476,0.2621079087257385,0.00025,saved_models/model_LSTM_machine_20.h5
20,GRU,0.2965390246672181,0.2590997866840305,7.9749492060709954,57.21524222473528,49.12560678108369,-0.02252042501713114,0.08204856514930725,0.24798285961151123,0.08859795331954956,0.2606068253517151,0.00025,saved_models/model_GRU_machine_20.h5
20,TCN,0.32215468875568126,0.2722049471360268,8.711490375947344,58.80717423118651,51.610359730544374,-0.20680526289002676,0.029015634208917618,0.1371559351682663,0.11822862923145294,0.28911393880844116,0.00025,saved_models/model_TCN_machine_20.h5
21,LSTM,0.29161195675741247,0.25437717921190894,1.8208072091333156,58.10987272738928,50.907692651478385,-0.020557566223605717,0.0834600031375885,0.2515341639518738,0.08662033081054688,0.25560641288757324,0.00025,saved_models/model_LSTM_machine_21.h5
21,GRU,0.2929060625694509,0.2542110557084581,1.7787696783148421,58.17742138051919,50.874446885163714,-0.029635657485129308,0.08236190676689148,0.24940046668052673,0.08742397278547287,0.2562822997570038,0.00025,saved_models/model_GRU_machine_21.h5
21,TCN,0.3390838634292476,0.2843307894946268,1.8526204319534638,64.48828355696202,56.90221303573217,-0.37987929511936724,0.011678551323711872,0.08549898862838745,0.12900514900684357,0.29899296164512634,0.00025,saved_models/model_TCN_machine_21.h5
22,LSTM,0.2773562679557043,0.24127641417179552,3.5844304488237495,53.41033141766255,47.21477452918002,0.0007372735230529726,0.08324354141950607,0.24922767281532288,0.07728677242994308,0.24158404767513275,0.00025,saved_models/model_LSTM_machine_22.h5
22,GRU,0.27775851840833826,0.24029141625141212,3.582860021957432,53.264723436047454,47.022022764022,-0.00216329450323105,0.08357442170381546,0.24983380734920502,0.07859610766172409,0.24259139597415924,0.00025,saved_models/model_GRU_machine_22.h5
22,TCN,0.32696848138159423,0.27117666851938105,3.369377606683675,59.36512096132558,53.06588008474085,-0.38872258535299387,0.019470730796456337,0.11154454946517944,0.11876863986253738,0.2832956314086914,0.00025,saved_models/model_TCN_machine_22.h5
23,LSTM,0.28437294649889994,0.24613446918480078,2.2549576520625334,55.17142726007831,48.27423268596265,0.000759661439263648,0.0830543115735054,0.249663308262825,0.08200803399085999,0.24713383615016937,0.00025,saved_models/model_LSTM_machine_23.h5
23,GRU,0.2850569028209655,0.24719997508207572,2.2655531579652424,55.34590172708869,48.483209834850705,-0.004052741676166871,0.08243776112794876,0.24815118312835693,0.08234677463769913,0.24819697439670563,0.00025,saved_models/model_GRU_machine_23.h5
23,TCN,0.31203065083422765,0.263745420819196,2.036433580721856,59.999691940316794,51.728259989963384,-0.20306174123043408,0.04416723549365997,0.1732947826385498,0.10529471933841705,0.2718185782432556,0.00025,saved_models/model_TCN_machine_23.h5
24,LSTM,0.29547295589306355,0.2584298915361168,6.38643341989559,60.08742295651493,52.01843303565265,-0.0041894459311278,0.08272531628608704,0.24877774715423584,0.08892784267663956,0.26067548990249634,0.000125,saved_models/model_LSTM_machine_24.h5
24,GRU,0.29638870224402414,0.25885250984547864,5.91213428988936,60.661755524502695,52.10350037091525,-0.010423572024452987,0.08348969370126724,0.2489355206489563,0.09217295795679092,0.26418018341064453,0.00025,saved_models/model_GRU_machine_24.h5
24,TCN,0.32032434288987294,0.2740570861165566,6.629306076465993,62.49358149789397,55.163975410746346,-0.18021211049055408,0.029360007494688034,0.13905589282512665,0.11695843935012817,0.28815892338752747,0.00025,saved_models/model_TCN_machine_24.h5
25,LSTM,0.2906473018703841,0.25100234116438447,3.213964644150546,58.821829792820814,51.838590233957405,-0.013719483850373582,0.08162657171487808,0.24630679190158844,0.08470934629440308,0.25136199593544006,0.000125,saved_models/model_LSTM_machine_25.h5
25,GRU,0.2903777817507144,0.24991509197754688,3.0842345565532248,59.040362525998866,51.614044658735985,-0.011840291330381003,0.08130482584238052,0.24547776579856873,0.08483006060123444,0.2507699131965637,0.00025,saved_models/model_GRU_machine_25.h5
25,TCN,0.313196351375846,0.2600698095017496,3.0380887264286396,60.98129260670163,53.71126111590832,-0.17711417751938985,0.024186769500374794,0.12501007318496704,0.12129482626914978,0.29045364260673523,0.00025,saved_models/model_TCN_machine_25.h5
26,LSTM,0.29398836130546935,0.25584547709393307,2.049678667655063,56.465251936350406,48.746194205874616,-0.015963207772230925,0.08573830127716064,0.25366103649139404,0.08789443969726562,0.2585589587688446,0.00025,saved_models/model_LSTM_machine_26.h5
26,GRU,0.29479900132833303,0.25557874032709016,2.052232121639766,56.371938289038695,48.69537289612913,-0.02157374214701968,0.0849081426858902,0.252744197845459,0.08821207284927368,0.2584392726421356,0.000125,saved_models/model_GRU_machine_26.h5
26,TCN,0.3230937398459396,0.27175562847635926,2.1493424542683295,59.37511383684865,51.777552578678154,-0.22708540996457982,0.039107099175453186,0.16139420866966248,0.12295787036418915,0.2898990511894226,0.00025,saved_models/model_TCN_machine_26.h5
27,LSTM,0.2947126920260492,0.2598746445287004,4.115415077812549,57.31743958341826,49.501813184156724,-0.009633738454911667,0.08211395144462585,0.24768848717212677,0.0869191363453865,0.25995609164237976,1.5625e-05,saved_models/model_LSTM_machine_27.h5
27,GRU,0.2947903725829181,0.25913556652483144,4.052761870562333,57.19165582253522,49.36103107229509,-0.010166048391537785,0.07944552600383759,0.2430959939956665,0.08724948763847351,0.2603781521320343,6.25e-05,saved_models/model_GRU_machine_27.h5
27,TCN,0.3189239675714177,0.2726280019604579,4.057030520019543,59.78268679972237,51.93111642842884,-0.1823348541888754,0.01279922854155302,0.08923643082380295,0.12437894195318222,0.29194551706314087,0.00025,saved_models/model_TCN_machine_27.h5
28,LSTM,0.28131845156598223,0.24404338331222572,3.3708715109652307,54.32625467676164,46.92366635378076,-0.013141052581905788,0.08082880079746246,0.2459767758846283,0.08087462931871414,0.24755218625068665,0.00025,saved_models/model_LSTM_machine_28.h5
28,GRU,0.28397236427233374,0.2455681580245312,3.428892054317481,54.57597497445027,47.216843816303346,-0.03234683657912196,0.07941532135009766,0.24338939785957336,0.08121712505817413,0.24747800827026367,0.000125,saved_models/model_GRU_machine_28.h5
28,TCN,0.32729811842965617,0.2741634385880526,2.933595538314627,59.603935723912315,52.715027730344374,-0.37138847080725035,0.01626141369342804,0.10209237784147263,0.1195245310664177,0.2872897982597351,0.00025,saved_models/model_TCN_machine_28.h5
29,LSTM,0.28506593151537984,0.24580374650782855,19.96247747364168,58.12934058803236,50.49342892579586,-0.016661944583925115,0.07959500700235367,0.24288082122802734,0.0820154994726181,0.24728503823280334,0.00025,saved_models/model_LSTM_machine_29.h5
